Framework,LatencyAvgMs,LatencyStdevMs,LatencyMaxMs,LatencyPlusMinusStdevPercent,ReqPerSecAvg,ReqPerSecStdev,ReqPerSecMax,ReqPerSecPlusMinusStdevPercent,TransferPerSecMB
.NET,3.69,25.62,375.35,98.22,31830,3590,40040,90.25,11.79
Phoenix,341.15,52.99,622.51,76.03,87.10,75.85,242.00,60.05,2.40
