Timestamp,CPU_Usage(%),Memory_Usage(%),ElapsedTime
2025-05-22 00:18:59,%CPU,%MEM,
0.0,0.1,10:42:31
2025-05-22 00:19:00,%CPU,%MEM,
0.0,0.1,10:42:32
2025-05-22 00:19:01,%CPU,%MEM,
0.0,0.1,10:42:33
2025-05-22 00:19:02,%CPU,%MEM,
0.0,0.1,10:42:34
2025-05-22 00:19:03,%CPU,%MEM,
0.0,0.1,10:42:35
2025-05-22 00:19:04,%CPU,%MEM,
0.0,0.1,10:42:36
2025-05-22 00:19:05,%CPU,%MEM,
0.0,0.1,10:42:37
2025-05-22 00:19:06,%CPU,%MEM,
0.0,0.1,10:42:38
2025-05-22 00:19:07,%CPU,%MEM,
0.0,0.1,10:42:39
2025-05-22 00:19:08,%CPU,%MEM,
0.0,0.1,10:42:40
2025-05-22 00:19:09,%CPU,%MEM,
0.0,0.1,10:42:41
2025-05-22 00:19:10,%CPU,%MEM,
0.0,0.1,10:42:42
2025-05-22 00:19:11,%CPU,%MEM,
0.0,0.1,10:42:43
2025-05-22 00:19:12,%CPU,%MEM,
0.0,0.1,10:42:44
2025-05-22 00:19:13,%CPU,%MEM,
0.0,0.1,10:42:45
2025-05-22 00:19:14,%CPU,%MEM,
0.0,0.1,10:42:46
2025-05-22 00:19:15,%CPU,%MEM,
0.0,0.1,10:42:47
2025-05-22 00:19:16,%CPU,%MEM,
0.0,0.1,10:42:48
2025-05-22 00:19:17,%CPU,%MEM,
0.0,0.1,10:42:49
2025-05-22 00:19:18,%CPU,%MEM,
0.0,0.1,10:42:50
2025-05-22 00:19:19,%CPU,%MEM,
0.0,0.1,10:42:51
2025-05-22 00:19:20,%CPU,%MEM,
0.0,0.1,10:42:52
2025-05-22 00:19:21,%CPU,%MEM,
0.0,0.1,10:42:53
2025-05-22 00:19:22,%CPU,%MEM,
0.0,0.1,10:42:54
2025-05-22 00:19:23,%CPU,%MEM,
0.0,0.1,10:42:55
2025-05-22 00:19:24,%CPU,%MEM,
0.0,0.1,10:42:56
2025-05-22 00:19:25,%CPU,%MEM,
0.0,0.1,10:42:57
2025-05-22 00:19:26,%CPU,%MEM,
0.0,0.1,10:42:58
2025-05-22 00:19:27,%CPU,%MEM,
0.0,0.1,10:42:59
2025-05-22 00:19:28,%CPU,%MEM,
0.0,0.1,10:43:00
